,Season,Jogador,J,G,ASS,INF,PINF
0,0405,Jorginho [V. Setúbal],32.0,9.0,9.0,18.0,39.0
1,0405,Hugo Viana [Sporting],32.0,6.0,8.0,14.0,21.0
2,0405,Simão Sabrosa [Benfica],34.0,15.0,8.0,23.0,45.0
3,0405,Ricardo Nascimento [Rio Ave],19.0,3.0,7.0,10.0,29.0
4,0405,Juninho Petrolina [Belenenses],24.0,1.0,7.0,8.0,21.0
5,0405,Wender [SC Braga],33.0,9.0,7.0,16.0,36.0
6,0405,Fábio Rochemback [Sporting],23.0,1.0,6.0,7.0,11.0
7,0405,Luciano Fonseca [Académica OAF],31.0,6.0,6.0,12.0,41.0
8,0405,Nandinho [Gil Vicente],30.0,7.0,6.0,13.0,38.0
9,0405,Clayton [FC Penafiel],29.0,5.0,6.0,11.0,28.0
10,0405,Petit [Benfica],29.0,2.0,6.0,8.0,16.0
11,0405,Manuel José [V. Setúbal],31.0,3.0,5.0,8.0,17.0
12,0405,Alan [Marítimo],30.0,3.0,5.0,8.0,21.0
13,0405,Liedson [Sporting],31.0,25.0,5.0,30.0,45.0
14,0405,Carlos Martins [Sporting],22.0,5.0,4.0,9.0,14.0
15,0405,Wendel [Nacional],15.0,4.0,4.0,8.0,17.0
16,0405,Pedro Barbosa [Sporting],30.0,0.0,4.0,4.0,6.0
17,0405,Neca [Belenenses],27.0,1.0,4.0,5.0,13.0
18,0405,Azar Karadas [Benfica],27.0,4.0,4.0,8.0,16.0
19,0405,Silva [V. Guimarães],23.0,7.0,4.0,11.0,29.0
0,0506,Fajardo [Naval],32.0,4.0,10.0,14.0,40.0
1,0506,Ricardo Quaresma [FC Porto],29.0,5.0,9.0,14.0,26.0
2,0506,José Pedro [Belenenses],25.0,4.0,7.0,11.0,28.0
3,0506,Filipe Teixeira [Académica OAF],30.0,3.0,7.0,10.0,27.0
4,0506,Zé Manuel [Boavista],26.0,3.0,6.0,9.0,24.0
5,0506,Petit [Benfica],30.0,3.0,6.0,9.0,18.0
6,0506,Manuel José [Boavista],33.0,3.0,6.0,9.0,24.0
7,0506,Miguelito [Nacional],34.0,1.0,6.0,7.0,18.0
8,0506,Jorginho [FC Porto],28.0,4.0,5.0,9.0,17.0
9,0506,"Ousmane N’Doye [FC Penafiel, Académica OAF]",25.0,3.0,5.0,8.0,29.0
10,0506,Edson [Paços de Ferreira],29.0,3.0,5.0,8.0,21.0
11,0506,Nélson [Benfica],25.0,0.0,5.0,5.0,10.0
12,0506,Carlitos [Gil Vicente],32.0,5.0,5.0,10.0,27.0
13,0506,Nandinho [Gil Vicente],31.0,5.0,5.0,10.0,27.0
14,0506,Pedrinha [Paços de Ferreira],32.0,1.0,5.0,6.0,16.0
15,0506,Patacas [Nacional],31.0,0.0,5.0,5.0,13.0
16,0506,Mateus [Gil Vicente],4.0,2.0,4.0,6.0,16.0
17,0506,Hugo Leal [SC Braga],12.0,0.0,4.0,4.0,11.0
18,0506,Diogo Valente [Boavista],23.0,2.0,4.0,6.0,16.0
19,0506,"Jaime Júnior [SC Braga, UD Leiria]",26.0,0.0,4.0,4.0,8.0
0,0607,Ricardo Quaresma [FC Porto],26.0,6.0,17.0,23.0,35.0
1,0607,Leandro Romagnoli [Sporting],23.0,1.0,6.0,7.0,13.0
2,0607,João Vieira Pinto [SC Braga],24.0,2.0,6.0,8.0,23.0
3,0607,Juliano Spadacio [Nacional],25.0,3.0,6.0,9.0,22.0
4,0607,Simão Sabrosa [Benfica],24.0,11.0,6.0,17.0,31.0
5,0607,José Pedro [Belenenses],26.0,8.0,6.0,14.0,39.0
6,0607,Rodrigo Tello [Sporting],24.0,2.0,5.0,7.0,13.0
7,0607,Zé Manuel [Boavista],28.0,5.0,5.0,10.0,31.0
8,0607,Nani [Sporting],29.0,5.0,5.0,10.0,19.0
9,0607,Tiago Gomes [Est. Amadora],28.0,2.0,5.0,7.0,30.0
10,0607,Nélson [Benfica],28.0,0.0,5.0,5.0,9.0
11,0607,Silvestre Varela [V. Setúbal],30.0,2.0,5.0,7.0,33.0
12,0607,Anderson [FC Porto],15.0,2.0,4.0,6.0,9.0
13,0607,Yannick Djaló [Sporting],24.0,5.0,4.0,9.0,17.0
14,0607,Fabrizio Miccoli [Benfica],22.0,10.0,4.0,14.0,25.0
15,0607,Georgios Karagounis [Benfica],26.0,2.0,4.0,6.0,11.0
16,0607,Alonso [Nacional],25.0,1.0,4.0,5.0,12.0
17,0607,Marcinho [Marítimo],27.0,4.0,4.0,8.0,27.0
18,0607,Kostas Katsouranis [Benfica],29.0,6.0,4.0,10.0,18.0
19,0607,Lito [Naval],30.0,5.0,4.0,9.0,32.0
0,0708,Lucho González [FC Porto],28.0,3.0,12.0,15.0,25.0
1,0708,Ricardo Quaresma [FC Porto],27.0,8.0,8.0,16.0,27.0
2,0708,Wender [SC Braga],26.0,2.0,7.0,9.0,28.0
3,0708,Mateus [Est. Amadora],29.0,4.0,7.0,11.0,38.0
4,0708,Ricardo Esteves [Marítimo],25.0,0.0,6.0,6.0,15.0
5,0708,Yves Desmarets [V. Guimarães],30.0,4.0,6.0,10.0,29.0
6,0708,Marek Čech [FC Porto],16.0,0.0,5.0,5.0,8.0
7,0708,Edson [Paços de Ferreira],26.0,5.0,5.0,10.0,32.0
8,0708,Cláudio Pitbull [V. Setúbal],25.0,7.0,5.0,12.0,32.0
9,0708,Jorge Ribeiro [Boavista],26.0,8.0,5.0,13.0,41.0
10,0708,Liedson [Sporting],26.0,11.0,5.0,16.0,35.0
11,0708,Alan [V. Guimarães],29.0,1.0,5.0,6.0,17.0
12,0708,José Pedro [Belenenses],30.0,8.0,5.0,13.0,35.0
13,0708,Diogo Valente [Leixões],17.0,1.0,4.0,5.0,19.0
14,0708,Ángel Di María [Benfica],26.0,0.0,4.0,4.0,9.0
15,0708,Evandro Roncatto [Belenenses],28.0,3.0,4.0,7.0,19.0
16,0708,Davide [Naval],28.0,0.0,4.0,4.0,17.0
17,0708,Léo [Benfica],27.0,0.0,4.0,4.0,9.0
18,0708,Rui Costa [Benfica],29.0,5.0,4.0,9.0,20.0
19,0708,Silas [Belenenses],29.0,2.0,4.0,6.0,16.0
0,0809,Alonso [Nacional],29.0,2.0,10.0,12.0,26.0
1,0809,Ferreira [Paços de Ferreira],21.0,2.0,8.0,10.0,27.0
2,0809,Mariano González [FC Porto],24.0,4.0,7.0,11.0,18.0
3,0809,José Antonio Reyes [Benfica],24.0,4.0,6.0,10.0,19.0
4,0809,Raul Meireles [FC Porto],28.0,4.0,6.0,10.0,16.0
5,0809,Lisandro López [FC Porto],28.0,10.0,6.0,16.0,26.0
6,0809,João Moutinho [Sporting],27.0,3.0,6.0,9.0,20.0
7,0809,Modou Sougou [Académica OAF],23.0,4.0,5.0,9.0,32.0
8,0809,Hugo Leal [Trofense],21.0,3.0,5.0,8.0,32.0
9,0809,Hulk [FC Porto],25.0,8.0,5.0,13.0,21.0
10,0809,Luis Aguiar [SC Braga],28.0,4.0,5.0,9.0,24.0
11,0809,Rúben Micael [Nacional],26.0,4.0,5.0,9.0,19.0
12,0809,Mateus [Nacional],28.0,5.0,5.0,10.0,21.0
13,0809,Liedson [Sporting],26.0,17.0,5.0,22.0,49.0
14,0809,Marcinho [Marítimo],29.0,6.0,5.0,11.0,31.0
15,0809,Bruno Pereirinha [Sporting],25.0,1.0,4.0,5.0,11.0
16,0809,Miguel Pedro [Académica OAF],25.0,0.0,4.0,4.0,14.0
17,0809,Djalma Campos [Marítimo],26.0,6.0,4.0,10.0,29.0
18,0809,Derlei [Sporting],23.0,7.0,4.0,11.0,24.0
19,0809,Pablo Aimar [Benfica],22.0,1.0,4.0,5.0,9.0
0,0910,Ángel Di María [Benfica],26.0,5.0,11.0,16.0,21.0
1,0910,Fernando Belluschi [FC Porto],27.0,3.0,10.0,13.0,19.0
2,0910,Fábio Coentrão [Benfica],26.0,0.0,8.0,8.0,10.0
3,0910,Hulk [FC Porto],19.0,5.0,7.0,12.0,17.0
4,0910,Pablo Aimar [Benfica],25.0,4.0,7.0,11.0,14.0
5,0910,Marcinho [Marítimo],13.0,1.0,6.0,7.0,17.0
6,0910,Djalma Campos [Marítimo],28.0,6.0,6.0,12.0,29.0
7,0910,Hélder Barbosa [V. Setúbal],26.0,2.0,6.0,8.0,28.0
8,0910,Radamel Falcao [FC Porto],28.0,25.0,6.0,31.0,44.0
9,0910,Ukra [Olhanense],28.0,1.0,6.0,7.0,23.0
10,0910,Liedson [Sporting],28.0,13.0,6.0,19.0,45.0
11,0910,Fredy Guarín [FC Porto],19.0,4.0,5.0,9.0,13.0
12,0910,Hugo Viana [SC Braga],28.0,4.0,5.0,9.0,19.0
13,0910,Javier Saviola [Benfica],27.0,11.0,5.0,16.0,21.0
14,0910,"Rúben Micael [Nacional, FC Porto]",26.0,2.0,5.0,7.0,17.0
15,0910,Miguel Veloso [Sporting],25.0,3.0,5.0,8.0,19.0
16,0910,Emídio Rafael [Académica OAF],26.0,1.0,5.0,6.0,16.0
17,0910,Óscar Cardozo [Benfica],29.0,26.0,5.0,31.0,40.0
18,0910,Neca [V. Setúbal],11.0,2.0,4.0,6.0,21.0
19,0910,Luis Aguiar [SC Braga],14.0,3.0,4.0,7.0,15.0
0,1011,Hulk [FC Porto],26.0,23.0,13.0,36.0,49.0
1,1011,James Rodríguez [FC Porto],15.0,2.0,10.0,12.0,16.0
2,1011,Artur [Beira-Mar],26.0,4.0,8.0,12.0,38.0
3,1011,Saviola [Benfica],24.0,9.0,7.0,16.0,26.0
4,1011,Bruno Gama [Rio Ave],29.0,2.0,7.0,9.0,26.0
5,1011,Pablo Aimar [Benfica],23.0,5.0,6.0,11.0,18.0
6,1011,Fernando Belluschi [FC Porto],26.0,2.0,6.0,8.0,11.0
7,1011,Paulo Sérgio [Olhanense],24.0,2.0,6.0,8.0,33.0
8,1011,João Moutinho [FC Porto],27.0,0.0,6.0,6.0,8.0
9,1011,Daniel Candeias [Portimonense],28.0,1.0,6.0,7.0,24.0
10,1011,Rúben Micael [FC Porto],19.0,0.0,5.0,5.0,7.0
11,1011,Mateus [Nacional],23.0,2.0,5.0,7.0,25.0
12,1011,Álvaro Pereira [FC Porto],21.0,0.0,5.0,5.0,7.0
13,1011,Nico Gaitán [Benfica],26.0,7.0,5.0,12.0,20.0
14,1011,Diogo Valente [Académica OAF],29.0,2.0,5.0,7.0,22.0
15,1011,Alan [SC Braga],27.0,5.0,5.0,10.0,22.0
16,1011,Modou Sougou [Académica OAF],28.0,6.0,5.0,11.0,34.0
17,1011,Selim Benachour [Marítimo],11.0,2.0,4.0,6.0,18.0
18,1011,Márcio Mossoró [SC Braga],21.0,3.0,4.0,7.0,16.0
19,1011,Jaime Valdés [Sporting],23.0,5.0,4.0,9.0,22.0
0,1112,Hulk [FC Porto],26.0,16.0,10.0,26.0,38.0
1,1112,Pablo Aimar [Benfica],24.0,2.0,9.0,11.0,17.0
2,1112,James Rodríguez [FC Porto],26.0,13.0,9.0,22.0,32.0
3,1112,Nolito [Benfica],29.0,11.0,8.0,19.0,29.0
4,1112,Danilo Dias [Marítimo],30.0,8.0,8.0,16.0,39.0
5,1112,Nico Gaitán [Benfica],25.0,3.0,7.0,10.0,15.0
6,1112,Alan [SC Braga],23.0,3.0,7.0,10.0,17.0
7,1112,Wilson Eduardo [Olhanense],27.0,7.0,7.0,14.0,39.0
8,1112,Christian Atsu [Rio Ave],27.0,6.0,6.0,12.0,36.0
9,1112,Salvador Agra [Olhanense],27.0,4.0,6.0,10.0,28.0
10,1112,Hugo Viana [SC Braga],27.0,2.0,6.0,8.0,14.0
11,1112,Lima [SC Braga],30.0,20.0,6.0,26.0,44.0
12,1112,Javier Saviola [Benfica],18.0,4.0,5.0,9.0,14.0
13,1112,Richard Almeida [Gil Vicente],29.0,0.0,5.0,5.0,16.0
14,1112,Silvestre Varela [FC Porto],21.0,3.0,4.0,7.0,10.0
15,1112,Leandro Salino [SC Braga],20.0,0.0,4.0,4.0,7.0
16,1112,Javier Balboa [Beira-Mar],25.0,3.0,4.0,7.0,27.0
17,1112,Manuel José [Paços de Ferreira],20.0,5.0,4.0,9.0,26.0
18,1112,Márcio Mossoró [SC Braga],28.0,3.0,4.0,7.0,12.0
19,1112,Vítor Silva [Paços de Ferreira],28.0,2.0,4.0,6.0,17.0
0,1213,João Moutinho [FC Porto],27.0,1.0,10.0,11.0,16.0
1,1213,Nico Gaitán [Benfica],23.0,3.0,9.0,12.0,16.0
2,1213,Josué [Paços de Ferreira],23.0,0.0,9.0,9.0,21.0
3,1213,Ukra [Rio Ave],26.0,1.0,9.0,10.0,29.0
4,1213,James Rodríguez [FC Porto],24.0,10.0,8.0,18.0,26.0
5,1213,Márcio Mossoró [SC Braga],28.0,5.0,8.0,13.0,22.0
6,1213,Lucho González [FC Porto],29.0,6.0,7.0,13.0,19.0
7,1213,Mario Rondón [Nacional],28.0,4.0,7.0,11.0,24.0
8,1213,Eduardo Salvio [Benfica],29.0,10.0,7.0,17.0,22.0
9,1213,Claudemir [Nacional],30.0,5.0,7.0,12.0,27.0
10,1213,Rúben Micael [SC Braga],18.0,4.0,6.0,10.0,17.0
11,1213,Tiago Rodrigues [V. Guimarães],20.0,4.0,6.0,10.0,28.0
12,1213,Vítor Silva [Paços de Ferreira],29.0,5.0,6.0,11.0,26.0
13,1213,Ola John [Benfica],22.0,0.0,5.0,5.0,6.0
14,1213,David Addy [V. Guimarães],22.0,1.0,5.0,6.0,17.0
15,1213,Alan [SC Braga],26.0,5.0,5.0,10.0,17.0
16,1213,Jefferson [Estoril Praia],28.0,4.0,5.0,9.0,19.0
17,1213,Danilo [FC Porto],28.0,2.0,5.0,7.0,10.0
18,1213,João Pedro [SC Braga],14.0,2.0,4.0,6.0,10.0
19,1213,Paulinho [Moreirense],9.0,0.0,4.0,4.0,13.0
0,1314,Alan [SC Braga],24.0,6.0,8.0,14.0,36.0
1,1314,Daniel Candeias [Nacional],29.0,4.0,8.0,12.0,28.0
2,1314,Evandro [Estoril Praia],28.0,11.0,8.0,19.0,45.0
3,1314,André Carrillo [Sporting],27.0,2.0,6.0,8.0,15.0
4,1314,Lazar Markovic [Benfica],26.0,5.0,6.0,11.0,19.0
5,1314,Rodrigo Moreno [Benfica],26.0,11.0,6.0,17.0,29.0
6,1314,Pedro Tiba [V. Setúbal],24.0,1.0,6.0,7.0,17.0
7,1314,Nico Gaitán [Benfica],26.0,4.0,5.0,9.0,16.0
8,1314,Jefferson [Sporting],26.0,2.0,5.0,7.0,13.0
9,1314,João Mário [V. Setúbal],15.0,0.0,4.0,4.0,10.0
10,1314,Josué [FC Porto],20.0,4.0,4.0,8.0,14.0
11,1314,Artur [Marítimo],26.0,1.0,4.0,5.0,13.0
12,1314,Silvestre Varela [FC Porto],25.0,5.0,4.0,9.0,16.0
13,1314,André Martins [Sporting],27.0,3.0,4.0,7.0,13.0
14,1314,Felipe Pardo [SC Braga],30.0,7.0,4.0,11.0,28.0
15,1314,Luís Tinoco [FC Arouca],25.0,0.0,4.0,4.0,14.0
16,1314,Lima [Benfica],28.0,14.0,4.0,18.0,31.0
17,1314,Enzo Pérez [Benfica],28.0,4.0,4.0,8.0,14.0
18,1314,Danilo [FC Porto],28.0,3.0,4.0,7.0,12.0
19,1314,Adrien Silva [Sporting],28.0,8.0,4.0,12.0,22.0
0,1415,Nico Gaitán [Benfica],27.0,4.0,16.0,20.0,23.0
1,1415,André Carrillo [Sporting],32.0,5.0,9.0,14.0,21.0
2,1415,Ukra [Rio Ave],33.0,4.0,9.0,13.0,34.0
3,1415,Tiago Rodrigues [Nacional],18.0,4.0,8.0,12.0,27.0
4,1415,Tozé [Estoril Praia],28.0,5.0,8.0,13.0,34.0
5,1415,Eduardo Salvio [Benfica],29.0,9.0,8.0,17.0,20.0
6,1415,Rúben Ferreira [Marítimo],28.0,0.0,8.0,8.0,17.0
7,1415,Maxi Pereira [Benfica],32.0,5.0,8.0,13.0,15.0
8,1415,Pizzi [Benfica],23.0,2.0,7.0,9.0,10.0
9,1415,Cristian Tello [FC Porto],25.0,7.0,7.0,14.0,19.0
10,1415,Ricardo Quaresma [FC Porto],30.0,6.0,6.0,12.0,16.0
11,1415,Jefferson [Sporting],23.0,1.0,6.0,7.0,10.0
12,1415,Nani [Sporting],27.0,7.0,6.0,13.0,19.0
13,1415,Héctor Herrera [FC Porto],33.0,3.0,6.0,9.0,12.0
14,1415,Tomané [V. Guimarães],32.0,4.0,6.0,10.0,20.0
15,1415,Lima [Benfica],34.0,19.0,6.0,25.0,29.0
16,1415,Vincent Aboubakar [FC Porto],14.0,4.0,5.0,9.0,12.0
17,1415,Ola John [Benfica],26.0,3.0,5.0,8.0,9.0
18,1415,Jonathan Urreta [Paços de Ferreira],14.0,5.0,5.0,10.0,25.0
19,1415,"Luís Aurélio [Nacional, Moreirense]",19.0,2.0,5.0,7.0,16.0
0,1516,Nico Gaitán [Benfica],25.0,4.0,15.0,19.0,22.0
1,1516,Miguel Layún [FC Porto],27.0,5.0,15.0,20.0,30.0
2,1516,Jonas [Benfica],34.0,32.0,12.0,44.0,50.0
3,1516,Bryan Ruiz [Sporting],34.0,8.0,11.0,19.0,24.0
4,1516,Carlos Martins [Belenenses],24.0,2.0,10.0,12.0,27.0
5,1516,Otávio [V. Guimarães],25.0,6.0,10.0,16.0,36.0
6,1516,Iuri Medeiros [Moreirense],29.0,8.0,10.0,18.0,47.0
7,1516,João Mário [Sporting],33.0,6.0,10.0,16.0,20.0
8,1516,Salvador Agra [Nacional],34.0,9.0,9.0,18.0,45.0
9,1516,Maxi Pereira [FC Porto],32.0,1.0,9.0,10.0,15.0
10,1516,Nuno Sequeira [Nacional],31.0,1.0,7.0,8.0,20.0
11,1516,Renato Santos [Boavista],25.0,2.0,6.0,8.0,33.0
12,1516,"Suk Hyun-jun [FC Porto, V. Setúbal]",25.0,10.0,6.0,16.0,35.0
13,1516,Pizzi [Benfica],31.0,8.0,6.0,14.0,16.0
14,1516,Adrien Silva [Sporting],29.0,8.0,6.0,14.0,18.0
15,1516,Amilton Silva [União Madeira],31.0,5.0,6.0,11.0,41.0
16,1516,Anderson Luís [Estoril Praia],33.0,2.0,6.0,8.0,20.0
17,1516,Mehdi Carcela [Benfica],20.0,2.0,5.0,7.0,8.0
18,1516,Gonçalo Guedes [Benfica],18.0,3.0,5.0,8.0,9.0
19,1516,"Moussa Marega [FC Porto, Marítimo]",24.0,5.0,5.0,10.0,22.0
0,1617,Gelson Martins [Sporting],32.0,6.0,10.0,16.0,24.0
1,1617,Iuri Medeiros [Boavista],27.0,7.0,8.0,15.0,45.0
2,1617,Pizzi [Benfica],33.0,10.0,8.0,18.0,25.0
3,1617,Alex Telles [FC Porto],32.0,1.0,8.0,9.0,13.0
4,1617,Wilson Eduardo [SC Braga],18.0,6.0,7.0,13.0,25.0
5,1617,Pedro Santos [SC Braga],27.0,6.0,7.0,13.0,25.0
6,1617,Raphinha [V. Guimarães],32.0,4.0,6.0,10.0,20.0
7,1617,Toto Salvio [Benfica],29.0,4.0,6.0,10.0,14.0
8,1617,Moussa Marega [V. Guimarães],25.0,13.0,6.0,19.0,38.0
9,1617,Mateus [FC Arouca],32.0,3.0,6.0,9.0,27.0
10,1617,Patrick Vieira [Marítimo],30.0,1.0,6.0,7.0,21.0
11,1617,Nélson Semedo [Benfica],31.0,1.0,6.0,7.0,10.0
12,1617,Otávio [FC Porto],23.0,1.0,5.0,6.0,8.0
13,1617,João Aurélio [V. Guimarães],25.0,0.0,5.0,5.0,10.0
14,1617,Jesús Corona [FC Porto],29.0,3.0,5.0,8.0,11.0
15,1617,Nildo Petrolina [Moreirense],30.0,2.0,5.0,7.0,21.0
16,1617,Ezequiel Schelotto [Sporting],23.0,0.0,5.0,5.0,7.0
17,1617,Edgar Costa [Marítimo],27.0,1.0,5.0,6.0,18.0
18,1617,Bryan Ruiz [Sporting],32.0,2.0,5.0,7.0,10.0
19,1617,André Silva [FC Porto],32.0,16.0,5.0,21.0,30.0
0,1718,Alex Telles [FC Porto],30.0,3.0,13.0,16.0,20.0
1,1718,Shoya Nakajima [Portimonense],29.0,10.0,10.0,20.0,38.0
2,1718,Ricardo Esgaio [SC Braga],30.0,4.0,10.0,14.0,19.0
3,1718,Jefferson [SC Braga],26.0,0.0,9.0,9.0,12.0
4,1718,Ricardo Horta [SC Braga],30.0,11.0,8.0,19.0,26.0
5,1718,Franco Cervi [Benfica],31.0,3.0,8.0,11.0,14.0
6,1718,Xavier [Paços de Ferreira],33.0,0.0,8.0,8.0,24.0
7,1718,Gelson Martins [Sporting],31.0,8.0,8.0,16.0,25.0
8,1718,Yacine Brahimi [FC Porto],33.0,9.0,8.0,17.0,21.0
9,1718,Bruno Fernandes [Sporting],33.0,11.0,8.0,19.0,30.0
10,1718,Tiago Silva [Feirense],29.0,3.0,7.0,10.0,31.0
11,1718,André Almeida [Benfica],31.0,2.0,7.0,9.0,11.0
12,1718,André Horta [SC Braga],22.0,1.0,6.0,7.0,9.0
13,1718,Raul Silva [SC Braga],25.0,6.0,6.0,12.0,16.0
14,1718,Davidson [GD Chaves],33.0,5.0,6.0,11.0,23.0
15,1718,Jean Cléber [Marítimo],30.0,1.0,6.0,7.0,19.0
16,1718,Nuno Pinto [V. Setúbal],27.0,1.0,6.0,7.0,18.0
17,1718,Fabrício Messias [Portimonense],29.0,15.0,6.0,21.0,40.0
18,1718,Jonas [Benfica],30.0,34.0,6.0,40.0,50.0
19,1718,Miguel Cardoso [CD Tondela],32.0,8.0,6.0,14.0,34.0
0,1819,Pizzi [Benfica],34.0,13.0,19.0,32.0,31.0
1,1819,Bruno Fernandes [Sporting],33.0,20.0,13.0,33.0,46.0
2,1819,André Almeida [Benfica],33.0,2.0,12.0,14.0,14.0
3,1819,Álex Grimaldo [Benfica],34.0,4.0,12.0,16.0,16.0
4,1819,Jesús Corona [FC Porto],34.0,3.0,9.0,12.0,16.0
5,1819,Marcos Acuña [Sporting],30.0,1.0,9.0,10.0,14.0
6,1819,Alex Telles [FC Porto],33.0,4.0,8.0,12.0,16.0
7,1819,Otávio [FC Porto],28.0,3.0,7.0,10.0,14.0
8,1819,João Félix [Benfica],26.0,15.0,7.0,22.0,21.0
9,1819,Xavier [CD Tondela],32.0,3.0,7.0,10.0,25.0
10,1819,Sequeira [SC Braga],29.0,0.0,7.0,7.0,13.0
11,1819,Chiquinho [Moreirense],34.0,8.0,7.0,15.0,38.0
12,1819,Diogo Viana [Belenenses SAD],30.0,1.0,6.0,7.0,17.0
13,1819,Éber Bessa [V. Setúbal],31.0,2.0,6.0,8.0,29.0
14,1819,Dyego Sousa [SC Braga],33.0,15.0,6.0,21.0,38.0
15,1819,Moussa Marega [FC Porto],29.0,11.0,6.0,17.0,23.0
16,1819,Davidson [V. Guimarães],34.0,8.0,6.0,14.0,30.0
17,1819,Tomané [CD Tondela],31.0,12.0,6.0,18.0,45.0
18,1819,Gelson Dala [Rio Ave],19.0,5.0,5.0,10.0,20.0
19,1819,Shoya Nakajima [Portimonense],13.0,5.0,5.0,10.0,23.0
0,1920,Pizzi [Benfica],34.0,18.0,14.0,32.0,45.0
1,1920,Jesús Corona [FC Porto],33.0,4.0,11.0,15.0,20.0
2,1920,Otávio [FC Porto],31.0,2.0,9.0,11.0,15.0
3,1920,Bruno Tabata [Portimonense],26.0,1.0,8.0,9.0,30.0
4,1920,Alex Telles [FC Porto],31.0,11.0,8.0,19.0,26.0
5,1920,Bruno Fernandes [Sporting],17.0,8.0,7.0,15.0,31.0
6,1920,Paulinho [SC Braga],29.0,17.0,7.0,24.0,39.0
7,1920,Carlos Mané [Rio Ave],32.0,1.0,6.0,7.0,15.0
8,1920,Francisco Trincão [SC Braga],27.0,8.0,6.0,14.0,23.0
9,1920,Carlos Vinícius [Benfica],32.0,18.0,6.0,24.0,34.0
10,1920,Lincoln [Santa Clara],30.0,1.0,6.0,7.0,19.0
11,1920,Álex Grimaldo [Benfica],26.0,0.0,6.0,6.0,8.0
12,1920,Fábio Martins [FC Famalicão],29.0,12.0,6.0,18.0,34.0
13,1920,Ricardo Esgaio [SC Braga],30.0,1.0,6.0,7.0,11.0
14,1920,Pedro Nuno [Moreirense],28.0,2.0,5.0,7.0,17.0
15,1920,Rúben Lameiras [FC Famalicão],22.0,2.0,5.0,7.0,13.0
16,1920,Rafa Silva [Benfica],25.0,7.0,5.0,12.0,17.0
17,1920,Falaye Sacko [V. Guimarães],23.0,0.0,5.0,5.0,9.0
18,1920,Marcus Edwards [V. Guimarães],26.0,7.0,5.0,12.0,23.0
19,1920,Éber Bessa [V. Setúbal],31.0,2.0,5.0,7.0,26.0
0,2021,Everton [Benfica],28.0,5.0,8.0,13.0,22.0
1,2021,Álex Grimaldo [Benfica],27.0,2.0,8.0,10.0,17.0
2,2021,Darwin Núñez [Benfica],25.0,6.0,7.0,13.0,22.0
3,2021,Mehdi Taremi [FC Porto],30.0,13.0,7.0,20.0,33.0
4,2021,Jesús Corona [FC Porto],30.0,2.0,7.0,9.0,15.0
5,2021,Rochinha [V. Guimarães],29.0,5.0,6.0,11.0,33.0
6,2021,Otávio [FC Porto],22.0,3.0,6.0,9.0,15.0
7,2021,Haris Seferovic [Benfica],27.0,18.0,6.0,24.0,41.0
8,2021,Alberth Elis [Boavista],27.0,7.0,6.0,13.0,37.0
9,2021,Ryan Gauld [Farense],29.0,8.0,6.0,14.0,52.0
10,2021,Diogo Gonçalves [Benfica],19.0,1.0,5.0,6.0,10.0
11,2021,Ricardo Quaresma [V. Guimarães],25.0,3.0,5.0,8.0,24.0
12,2021,Nuno Santos [Sporting],28.0,6.0,5.0,11.0,20.0
13,2021,"Paulinho [Sporting, SC Braga]",22.0,4.0,5.0,9.0,14.0
14,2021,Luther Singh [Paços de Ferreira],27.0,5.0,5.0,10.0,29.0
15,2021,Gelson Dala [Rio Ave],27.0,3.0,5.0,8.0,35.0
16,2021,Sérgio Oliveira [FC Porto],29.0,12.0,5.0,17.0,28.0
17,2021,Angel Gomes [Boavista],26.0,6.0,5.0,11.0,31.0
18,2021,Yanis Hamache [Boavista],23.0,2.0,4.0,6.0,17.0
19,2021,Cryzan [Santa Clara],20.0,3.0,4.0,7.0,19.0
