,Season,Jogador,J,A,2A,VE
5,9798,Basílio Marques [Campomaiorense],29.0,13.0,2.0,0.0
6,9798,Andrade [Belenenses],30.0,13.0,1.0,0.0
7,9798,Abazaj [Académica OAF],23.0,12.0,0.0,0.0
8,9798,Ryuler [Leça FC],21.0,12.0,4.0,0.0
9,9798,Mauro Soares [Farense],29.0,12.0,1.0,0.0
10,9798,Oceano [Sporting],27.0,12.0,1.0,0.0
11,9798,Caetano [Belenenses],28.0,12.0,1.0,0.0
12,9798,Pedro Miguel [Farense],30.0,12.0,2.0,0.0
13,9798,Litos [Boavista],32.0,12.0,0.0,1.0
14,9798,Joel [Campomaiorense],22.0,11.0,1.0,0.0
15,9798,Sousa [Benfica],25.0,11.0,0.0,0.0
16,9798,Filgueira [Belenenses],26.0,11.0,2.0,0.0
17,9798,António Miranda [Varzim],32.0,11.0,0.0,0.0
18,9798,Rched Mounir [Académica OAF],29.0,11.0,1.0,1.0
19,9798,Rui Carlos [V. Setúbal],31.0,11.0,0.0,0.0
0,9899,Hugo Costa [FC Alverca],29.0,17.0,3.0,1.0
1,9899,Luizão [GD Chaves],29.0,16.0,2.0,1.0
2,9899,Mauro Soares [Campomaiorense],27.0,15.0,1.0,0.0
3,9899,Cao [SC Salgueiros],31.0,15.0,1.0,0.0
4,9899,Márcio Antônio [Marítimo],30.0,14.0,0.0,0.0
5,9899,Quevedo [Boavista],31.0,14.0,1.0,0.0
6,9899,Jorge Costa [FC Porto],33.0,14.0,0.0,0.0
7,9899,Caetano [Beira-Mar],30.0,13.0,0.0,0.0
8,9899,Beto [Sporting],28.0,13.0,1.0,0.0
9,9899,Rui Óscar [Marítimo],29.0,13.0,2.0,0.0
10,9899,Nail Besirovic [Farense],32.0,13.0,1.0,0.0
11,9899,João Manuel [UD Leiria],23.0,12.0,1.0,0.0
12,9899,Fusco [Beira-Mar],31.0,12.0,1.0,1.0
13,9899,Bilro [UD Leiria],31.0,12.0,1.0,0.0
14,9899,Hélio [V. Setúbal],33.0,12.0,1.0,1.0
15,9899,Litos [Boavista],32.0,12.0,2.0,0.0
16,9899,Fernando Mendes [FC Porto],19.0,11.0,0.0,0.0
17,9899,Luís Manuel [Boavista],22.0,11.0,2.0,0.0
18,9899,Chico Fonseca [SC Salgueiros],29.0,11.0,0.0,1.0
19,9899,Gouveia [Farense],30.0,11.0,0.0,0.0
0,9900,Torrão [Campomaiorense],31.0,17.0,3.0,0.0
1,9900,Paulo Sousa [Boavista],16.0,15.0,2.0,0.0
2,9900,Diogo [FC Alverca],25.0,15.0,2.0,0.0
3,9900,Predrag Jokanovic [Marítimo],27.0,14.0,0.0,0.0
4,9900,Peu [Rio Ave],27.0,14.0,1.0,1.0
5,9900,Cao [Campomaiorense],28.0,13.0,1.0,1.0
6,9900,Petit [Gil Vicente],30.0,13.0,0.0,0.0
7,9900,Pedro Lavoura [SC Braga],31.0,13.0,0.0,0.0
8,9900,Beke [Campomaiorense],29.0,13.0,2.0,1.0
9,9900,Albertino [Marítimo],32.0,13.0,1.0,0.0
10,9900,Kenedy [Est. Amadora],25.0,12.0,0.0,0.0
11,9900,Poejo [Campomaiorense],28.0,12.0,1.0,0.0
12,9900,Hugo Costa [FC Alverca],25.0,12.0,2.0,0.0
13,9900,Barroso [SC Braga],30.0,12.0,0.0,0.0
14,9900,Jorge Costa [FC Porto],31.0,12.0,0.0,0.0
15,9900,Pedro Emanuel [Boavista],32.0,12.0,1.0,0.0
16,9900,Luís Manuel [Boavista],20.0,11.0,1.0,0.0
17,9900,Maniche [Benfica],28.0,11.0,1.0,0.0
18,9900,Lázaro [Est. Amadora],29.0,11.0,2.0,1.0
19,9900,Litos [Boavista],30.0,11.0,0.0,0.0
0,0001,Cléber Lima [Belenenses],28.0,21.0,2.0,0.0
1,0001,Fernando Aguiar [Beira-Mar],30.0,17.0,2.0,1.0
2,0001,Guga [Belenenses],30.0,14.0,0.0,1.0
3,0001,Rafael [Paços de Ferreira],31.0,14.0,1.0,0.0
4,0001,Deco [FC Porto],31.0,13.0,1.0,0.0
5,0001,Glauber [Paços de Ferreira],30.0,13.0,2.0,0.0
6,0001,Petit [Boavista],26.0,12.0,1.0,1.0
7,0001,Lino [Marítimo],29.0,12.0,2.0,0.0
8,0001,Zé António [FC Alverca],29.0,12.0,0.0,0.0
9,0001,Bilro [UD Leiria],30.0,12.0,1.0,0.0
10,0001,Litos [Boavista],33.0,12.0,0.0,0.0
11,0001,José Vieira [CD Aves],19.0,11.0,1.0,0.0
12,0001,Predrag Jokanović [Marítimo],23.0,11.0,0.0,0.0
13,0001,Pedro Simões [Est. Amadora],24.0,11.0,1.0,0.0
14,0001,Neves [SC Salgueiros],26.0,11.0,0.0,0.0
15,0001,Petar Krpan [UD Leiria],27.0,11.0,0.0,0.0
16,0001,Patacas [Campomaiorense],26.0,11.0,1.0,0.0
17,0001,João Manuel [UD Leiria],29.0,11.0,1.0,1.0
18,0001,Miguel Vaz [Campomaiorense],29.0,11.0,1.0,0.0
19,0001,Kenedy [Est. Amadora],27.0,11.0,1.0,0.0
0,0102,Deco [FC Porto],30.0,17.0,2.0,0.0
1,0102,Adalberto [Paços de Ferreira],31.0,14.0,0.0,1.0
2,0102,Cléber Lima [V. Guimarães],32.0,14.0,1.0,0.0
3,0102,Torrão [FC Alverca],30.0,13.0,0.0,1.0
4,0102,Sérgio Nunes [Santa Clara],29.0,13.0,1.0,0.0
5,0102,Costinha [FC Porto],29.0,12.0,1.0,0.0
6,0102,Barroso [SC Braga],26.0,12.0,0.0,0.0
7,0102,Luís Manuel [Beira-Mar],27.0,12.0,2.0,0.0
8,0102,Tinaia [FC Alverca],29.0,12.0,1.0,0.0
9,0102,João Manuel [UD Leiria],30.0,12.0,2.0,0.0
10,0102,Luís Loureiro [Gil Vicente],27.0,11.0,1.0,0.0
11,0102,Mário Jardel [Sporting],30.0,11.0,1.0,0.0
12,0102,Bilro [UD Leiria],32.0,11.0,0.0,1.0
13,0102,Briguel [Marítimo],23.0,10.0,1.0,0.0
14,0102,Nuno Frechaut [Boavista],25.0,10.0,0.0,0.0
15,0102,Ricardo Rocha [SC Braga],25.0,10.0,1.0,1.0
16,0102,Petit [Boavista],25.0,10.0,0.0,0.0
17,0102,Pedro Emanuel [Boavista],28.0,10.0,1.0,0.0
18,0102,Pedro Henriques [Belenenses],28.0,10.0,0.0,0.0
19,0102,Silas [UD Leiria],32.0,10.0,0.0,0.0
0,0203,Cléber Lima [V. Guimarães],31.0,17.0,1.0,2.0
1,0203,Pepe [Marítimo],29.0,16.0,1.0,1.0
2,0203,Deco [FC Porto],30.0,16.0,0.0,1.0
3,0203,Nuno Amaro [Gil Vicente],29.0,14.0,2.0,1.0
4,0203,Paulo Sousa [Paços de Ferreira],30.0,13.0,2.0,1.0
5,0203,Ricardo Silva [V. Guimarães],28.0,13.0,0.0,1.0
6,0203,Pedro Santos [Boavista],19.0,12.0,3.0,0.0
7,0203,Petit [Benfica],25.0,12.0,1.0,1.0
8,0203,Filgueira [Belenenses],24.0,12.0,1.0,0.0
9,0203,Fernando Aguiar [UD Leiria],28.0,12.0,0.0,1.0
10,0203,Jorge Costa [FC Porto],26.0,12.0,1.0,0.0
11,0203,Aldo [Santa Clara],27.0,12.0,0.0,0.0
12,0203,Hugo Alcântara [V. Setúbal],28.0,12.0,1.0,0.0
13,0203,Flávio Meireles [Moreirense],32.0,12.0,0.0,1.0
14,0203,André Macanga [Académica OAF],32.0,12.0,0.0,0.0
15,0203,Arrieta [SC Braga],31.0,11.0,0.0,0.0
16,0203,Sérgio Lomba [Moreirense],23.0,11.0,0.0,0.0
17,0203,Castanheira [SC Braga],29.0,11.0,1.0,0.0
18,0203,Luís Vouzela [Santa Clara],29.0,11.0,0.0,0.0
19,0203,Luís Loureiro [Gil Vicente],30.0,11.0,1.0,0.0
0,0304,Ferreira [Gil Vicente],30.0,15.0,1.0,0.0
1,0304,Jaime Júnior [Rio Ave],28.0,14.0,0.0,2.0
2,0304,Torrão [FC Alverca],30.0,14.0,0.0,1.0
3,0304,Maniche [FC Porto],31.0,13.0,0.0,0.0
4,0304,Rui Jorge [Sporting],29.0,13.0,2.0,0.0
5,0304,Ávalos [Nacional],31.0,13.0,1.0,0.0
6,0304,Luís Loureiro [Gil Vicente],28.0,12.0,1.0,0.0
7,0304,Flávio Meireles [V. Guimarães],26.0,12.0,1.0,0.0
8,0304,Mozer [Rio Ave],29.0,12.0,0.0,1.0
9,0304,Ricardo Sousa [Boavista],32.0,12.0,0.0,0.0
10,0304,Sérgio Lomba [Moreirense],30.0,12.0,0.0,0.0
11,0304,Jorge Costa [FC Porto],19.0,11.0,0.0,0.0
12,0304,Edson Canhão [UD Leiria],28.0,11.0,3.0,0.0
13,0304,Deco [FC Porto],28.0,11.0,1.0,0.0
14,0304,Pepe [Marítimo],30.0,11.0,0.0,2.0
15,0304,Tonel [Académica OAF],32.0,11.0,0.0,0.0
16,0304,Petit [Benfica],23.0,10.0,0.0,0.0
17,0304,Pedro Barbosa [Sporting],27.0,10.0,1.0,0.0
18,0304,Ricardo Rocha [Benfica],25.0,10.0,1.0,1.0
19,0304,Gaspar [Gil Vicente],28.0,10.0,1.0,1.0
0,0405,Paulo Sousa [Estoril Praia],21.0,16.0,1.0,1.0
1,0405,Hélder Rosário [Boavista],24.0,13.0,1.0,0.0
2,0405,Cléber Lima [V. Guimarães],27.0,13.0,2.0,0.0
3,0405,Cadú [Boavista],30.0,13.0,0.0,0.0
4,0405,Sérgio Lomba [Moreirense],30.0,13.0,2.0,0.0
5,0405,João Pedro [Estoril Praia],31.0,13.0,1.0,0.0
6,0405,Damian Tixier [Académica OAF],26.0,12.0,2.0,0.0
7,0405,Jorge Costa [FC Porto],22.0,12.0,1.0,0.0
8,0405,Alhandra [UD Leiria],28.0,12.0,1.0,0.0
9,0405,Ávalos [Nacional],32.0,12.0,0.0,0.0
10,0405,Grégory Arnolin [Gil Vicente],23.0,11.0,1.0,0.0
11,0405,Luís Coentrão [Gil Vicente],29.0,11.0,0.0,1.0
12,0405,Fernando Cardozo [Nacional],25.0,11.0,1.0,0.0
13,0405,Renato [UD Leiria],30.0,11.0,0.0,1.0
14,0405,Miguelito [Rio Ave],30.0,11.0,1.0,0.0
15,0405,Beto [Beira-Mar],31.0,11.0,1.0,0.0
16,0405,Liedson [Sporting],31.0,11.0,1.0,0.0
17,0405,Dionattan [Académica OAF],20.0,10.0,0.0,0.0
18,0405,Arrieta [Estoril Praia],21.0,10.0,1.0,0.0
19,0405,Gaúcho [Rio Ave],29.0,10.0,0.0,0.0
0,0506,Gilmar [Naval],29.0,17.0,1.0,0.0
1,0506,Cléber Lima [V. Guimarães],27.0,15.0,0.0,2.0
2,0506,Cadú [Boavista],28.0,15.0,1.0,0.0
3,0506,Paulo Sousa [Paços de Ferreira],32.0,15.0,0.0,0.0
4,0506,Petit [Benfica],30.0,14.0,0.0,0.0
5,0506,Sá Pinto [Sporting],27.0,13.0,1.0,1.0
6,0506,Areias [Boavista],30.0,13.0,1.0,1.0
7,0506,Danielson [Rio Ave],30.0,13.0,1.0,1.0
8,0506,Manú [Est. Amadora],31.0,13.0,1.0,1.0
9,0506,Santamaria [Est. Amadora],22.0,12.0,0.0,0.0
10,0506,Nélson Veiga [Naval],26.0,12.0,0.0,0.0
11,0506,China [Naval],30.0,12.0,1.0,0.0
12,0506,Weligton [FC Penafiel],31.0,12.0,0.0,1.0
13,0506,Barrionuevo [FC Penafiel],15.0,11.0,1.0,0.0
14,0506,Pedro Silva [Académica OAF],21.0,11.0,2.0,0.0
15,0506,Mozer [Rio Ave],26.0,11.0,1.0,1.0
16,0506,Modou Sougou [V. Setúbal],27.0,11.0,0.0,0.0
17,0506,Filipe Teixeira [Académica OAF],30.0,11.0,1.0,0.0
18,0506,Pelé [Belenenses],32.0,11.0,0.0,0.0
19,0506,Ricardo Silva [Boavista],17.0,10.0,1.0,0.0
0,0607,Mércio Silva [CD Aves],27.0,12.0,0.0,0.0
1,0607,Amoreirinha [Est. Amadora],28.0,12.0,0.0,0.0
2,0607,Geraldo Alves [Paços de Ferreira],28.0,12.0,0.0,0.0
3,0607,Sérgio Carvalho [CD Aves],25.0,11.0,1.0,0.0
4,0607,Paulo Gomes [UD Leiria],28.0,11.0,1.0,0.0
5,0607,Sandro [V. Setúbal],26.0,10.0,1.0,0.0
6,0607,Alonso [Nacional],25.0,10.0,0.0,0.0
7,0607,Ricardo Silva [Boavista],26.0,10.0,0.0,0.0
8,0607,Kalifa Cissé [Boavista],27.0,10.0,1.0,0.0
9,0607,Filipe Anunciação [CD Aves],27.0,10.0,0.0,0.0
10,0607,Paulo Assunção [FC Porto],22.0,9.0,0.0,0.0
11,0607,Carlos Fernandes [SC Braga],20.0,9.0,0.0,0.0
12,0607,Binho [V. Setúbal],25.0,9.0,1.0,0.0
13,0607,Sérgio Nunes [CD Aves],28.0,9.0,1.0,0.0
14,0607,Milton do Ó [Marítimo],18.0,8.0,0.0,0.0
15,0607,Rui Duarte [Est. Amadora],18.0,8.0,1.0,0.0
16,0607,Cândido Costa [Belenenses],24.0,8.0,1.0,0.0
17,0607,Rafał Grzelak [Boavista],28.0,8.0,1.0,0.0
18,0607,Mangualde [Paços de Ferreira],23.0,8.0,0.0,1.0
19,0607,Roberto Brum [Académica OAF],29.0,8.0,0.0,0.0
0,0708,Gabriel Gómez [Belenenses],25.0,12.0,1.0,0.0
1,0708,Paulo Jorge [SC Braga],27.0,12.0,1.0,0.0
2,0708,Cléber Monteiro [Nacional],25.0,11.0,1.0,0.0
3,0708,João Pereira [SC Braga],27.0,11.0,1.0,0.0
4,0708,César Peixoto [SC Braga],18.0,10.0,2.0,1.0
5,0708,Gilmar [Naval],24.0,10.0,1.0,0.0
6,0708,Davide [Naval],28.0,10.0,0.0,0.0
7,0708,Anderson Polga [Sporting],25.0,10.0,0.0,0.0
8,0708,Gilles Binya [Benfica],16.0,9.0,1.0,0.0
9,0708,Fernando [Est. Amadora],26.0,9.0,0.0,0.0
10,0708,Hélder Cabral [Est. Amadora],19.0,8.0,1.0,0.0
11,0708,Cândido Costa [Belenenses],24.0,8.0,1.0,0.0
12,0708,"Matheus [SC Braga, V. Setúbal]",25.0,8.0,0.0,0.0
13,0708,Delfim [Naval],23.0,8.0,1.0,0.0
14,0708,Dédé [Paços de Ferreira],25.0,8.0,0.0,0.0
15,0708,Marcelão [Boavista],26.0,8.0,1.0,0.0
16,0708,Kostas Katsouranis [Benfica],27.0,8.0,0.0,0.0
17,0708,Abel Ferreira [Sporting],28.0,8.0,0.0,0.0
18,0708,Tonel [Sporting],27.0,8.0,1.0,0.0
19,0708,Patacas [Nacional],28.0,8.0,0.0,2.0
0,0809,Mércio Silva [Trofense],25.0,12.0,1.0,0.0
1,0809,Derlei [Sporting],23.0,11.0,1.0,1.0
2,0809,Kostas Katsouranis [Benfica],24.0,11.0,1.0,0.0
3,0809,Patacas [Nacional],27.0,11.0,0.0,0.0
4,0809,Hassan Yebda [Benfica],25.0,10.0,1.0,0.0
5,0809,Vandinho [SC Braga],23.0,10.0,0.0,0.0
6,0809,André Vilas Boas [Rio Ave],25.0,10.0,1.0,0.0
7,0809,Miguel Lopes [Rio Ave],26.0,10.0,0.0,0.0
8,0809,Hugo Morais [Leixões],27.0,10.0,0.0,0.0
9,0809,Carciano [Belenenses],19.0,9.0,1.0,0.0
10,0809,Cândido Costa [Belenenses],20.0,9.0,0.0,0.0
11,0809,Rui Miguel [Paços de Ferreira],24.0,9.0,0.0,0.0
12,0809,Hélder Barbosa [Trofense],28.0,9.0,0.0,0.0
13,0809,Roberto [Leixões],22.0,9.0,0.0,0.0
14,0809,Andrezinho [V. Guimarães],22.0,9.0,0.0,0.0
15,0809,Milton do Ó [Trofense],27.0,9.0,1.0,0.0
16,0809,Nenê [Nacional],28.0,9.0,0.0,0.0
17,0809,Gabriel Gómez [Belenenses],20.0,8.0,0.0,0.0
18,0809,Paulinho Teles [Trofense],19.0,8.0,0.0,1.0
19,0809,Filipe Anunciação [Paços de Ferreira],24.0,8.0,0.0,0.0
0,0910,Tengarrinha [Olhanense],23.0,13.0,2.0,0.0
1,0910,Miguel Veloso [Sporting],25.0,13.0,1.0,0.0
2,0910,André Vilas Boas [Rio Ave],24.0,12.0,0.0,1.0
3,0910,Roberto [Marítimo],24.0,11.0,0.0,0.0
4,0910,Daniel Carriço [Sporting],25.0,11.0,1.0,0.0
5,0910,Nuno Assis [V. Guimarães],26.0,11.0,1.0,0.0
6,0910,Moreno [V. Guimarães],23.0,10.0,0.0,0.0
7,0910,Sílvio [Rio Ave],27.0,10.0,0.0,0.0
8,0910,Bruno Alves [FC Porto],27.0,10.0,0.0,0.0
9,0910,Patacas [Nacional],28.0,10.0,1.0,0.0
10,0910,Daniel Cruz [Naval],17.0,9.0,0.0,0.0
11,0910,"João Pereira [SC Braga, Sporting]",25.0,9.0,0.0,0.0
12,0910,Javi García [Benfica],26.0,9.0,0.0,0.0
13,0910,Carlos Fernandes [Olhanense],26.0,9.0,0.0,1.0
14,0910,Ángel Di María [Benfica],26.0,9.0,0.0,1.0
15,0910,Fábio Faria [Rio Ave],27.0,9.0,0.0,0.0
16,0910,André Castro [Olhanense],28.0,9.0,0.0,0.0
17,0910,"Miguel Garcia [SC Braga, Olhanense]",16.0,8.0,1.0,1.0
18,0910,Rui Baião [Olhanense],23.0,8.0,0.0,1.0
19,0910,Fábio Coentrão [Benfica],26.0,8.0,0.0,0.0
0,1011,Ney [V. Setúbal],23.0,16.0,2.0,0.0
1,1011,Pedro Silva [Portimonense],21.0,13.0,2.0,1.0
2,1011,André Leão [Paços de Ferreira],25.0,12.0,0.0,0.0
3,1011,Maurício Fernandes [Olhanense],26.0,12.0,0.0,0.0
4,1011,Paulo Sérgio [UD Leiria],17.0,11.0,1.0,0.0
5,1011,Maxi Pereira [Benfica],26.0,11.0,0.0,0.0
6,1011,André Pinto [Portimonense],26.0,11.0,0.0,0.0
7,1011,Gaspar [Rio Ave],26.0,11.0,0.0,0.0
8,1011,Robson [Marítimo],26.0,11.0,1.0,1.0
9,1011,Alonso [Marítimo],22.0,10.0,1.0,1.0
10,1011,Tarantini [Rio Ave],28.0,10.0,0.0,0.0
11,1011,Alex [V. Guimarães],28.0,10.0,0.0,0.0
12,1011,Rui Miguel [V. Guimarães],21.0,9.0,0.0,0.0
13,1011,Sílvio [SC Braga],20.0,9.0,0.0,0.0
14,1011,Vandinho [SC Braga],23.0,9.0,1.0,0.0
15,1011,Fábio Coentrão [Benfica],23.0,9.0,2.0,0.0
16,1011,Valentin Roberge [Marítimo],25.0,9.0,0.0,0.0
17,1011,Luís Alberto [Nacional],25.0,9.0,1.0,0.0
18,1011,João Moutinho [FC Porto],27.0,9.0,0.0,0.0
19,1011,Ricardo Silva [V. Setúbal],26.0,9.0,1.0,0.0
