,Season,Jogador,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE
0,9495,Hassan Nader [Farense],31.0,21.0,3.0,0.0,131.0,21.0,0.0,1.0,5.0,0.0,48.0
1,9495,Domingos Paciência [FC Porto],32.0,19.0,2.0,0.0,114.0,17.0,2.0,0.0,2.0,0.0,26.0
2,9495,Marcelo [Tirsense],33.0,17.0,3.0,0.0,163.0,17.0,0.0,0.0,3.0,0.0,49.0
3,9495,Artur [Boavista],32.0,16.0,4.0,0.0,175.0,16.0,0.0,1.0,1.0,0.0,40.0
4,9495,Edmílson [SC Salgueiros],34.0,15.0,1.0,0.0,198.0,15.0,0.0,1.0,2.0,0.0,35.0
5,9495,Isaías [Benfica],23.0,14.0,0.0,0.0,128.0,12.0,2.0,2.0,1.0,1.0,23.0
6,9495,Edinho [GD Chaves],32.0,14.0,4.0,0.0,194.0,13.0,1.0,1.0,2.0,0.0,42.0
7,9495,Paulo Alves [Marítimo],33.0,14.0,1.0,0.0,199.0,14.0,0.0,1.0,3.0,0.0,34.0
8,9495,Nelson Bertollazzi [UD Leiria],32.0,12.0,0.0,0.0,235.0,12.0,0.0,1.0,2.0,2.0,29.0
9,9495,Alex Bunbury [Marítimo],33.0,11.0,0.0,0.0,253.0,11.0,0.0,0.0,2.0,1.0,27.0
10,9495,Andrzej Juskowiak [Sporting],25.0,10.0,0.0,0.0,199.0,10.0,0.0,0.0,2.0,0.0,17.0
11,9495,Ivaylo Yordanov [Sporting],16.0,9.0,0.0,0.0,148.0,9.0,0.0,0.0,2.0,0.0,15.0
12,9495,Edílson [Benfica],23.0,9.0,0.0,0.0,187.0,8.0,1.0,1.0,1.0,0.0,15.0
13,9495,Rui Barros [FC Porto],27.0,9.0,0.0,0.0,189.0,8.0,1.0,0.0,0.0,0.0,12.0
14,9495,Erwin Sánchez [Boavista],31.0,9.0,0.0,0.0,272.0,9.0,0.0,2.0,1.0,0.0,23.0
15,9495,Gilmar [V. Guimarães],31.0,9.0,1.0,0.0,283.0,8.0,1.0,2.0,1.0,0.0,17.0
16,9495,Claudio Caniggia [Benfica],24.0,8.0,1.0,0.0,248.0,8.0,0.0,0.0,0.0,0.0,13.0
17,9495,Zé Carlos Nascimento [FC Porto],28.0,8.0,0.0,0.0,308.0,8.0,0.0,0.0,0.0,0.0,11.0
18,9495,Makopoloka Mangonga [Gil Vicente],25.0,7.0,0.0,0.0,234.0,4.0,3.0,0.0,1.0,0.0,23.0
19,9495,Emmanuel Amuneke [Sporting],21.0,7.0,0.0,0.0,248.0,7.0,0.0,1.0,2.0,0.0,12.0
0,9596,Domingos Paciência [FC Porto],29.0,25.0,2.0,0.0,97.0,25.0,0.0,0.0,6.0,1.0,30.0
1,9596,João Vieira Pinto [Benfica],31.0,18.0,2.0,0.0,151.0,18.0,0.0,0.0,2.0,0.0,31.0
2,9596,Edinho [V. Guimarães],32.0,15.0,3.0,0.0,128.0,13.0,2.0,0.0,3.0,0.0,27.0
3,9596,Constantino [Leça FC],30.0,15.0,3.0,0.0,138.0,13.0,2.0,1.0,3.0,0.0,52.0
4,9596,Lewis [FC Felgueiras],33.0,15.0,1.0,0.0,181.0,15.0,0.0,2.0,1.0,0.0,52.0
5,9596,Artur [Boavista],32.0,14.0,3.0,0.0,190.0,14.0,0.0,0.0,1.0,0.0,24.0
6,9596,Maurício Cabedelo [UD Leiria],25.0,13.0,2.0,0.0,143.0,11.0,2.0,0.0,3.0,0.0,34.0
7,9596,Edmílson [FC Porto],31.0,13.0,1.0,0.0,179.0,13.0,0.0,0.0,2.0,0.0,15.0
8,9596,Jimmy Hasselbaink [Campomaiorense],31.0,12.0,0.0,0.0,222.0,12.0,0.0,0.0,3.0,0.0,38.0
9,9596,Paulo Alves [Sporting],32.0,10.0,0.0,0.0,186.0,9.0,1.0,0.0,1.0,0.0,14.0
10,9596,Alex Bunbury [Marítimo],26.0,10.0,1.0,0.0,213.0,10.0,0.0,0.0,0.0,0.0,26.0
11,9596,Pedro Barbosa [Sporting],22.0,9.0,0.0,0.0,166.0,9.0,0.0,0.0,0.0,0.0,13.0
12,9596,César Brito [Belenenses],25.0,9.0,1.0,0.0,174.0,4.0,5.0,0.0,1.0,1.0,17.0
13,9596,Sá Pinto [Sporting],26.0,9.0,0.0,0.0,243.0,9.0,0.0,0.0,1.0,0.0,13.0
14,9596,Renato [Est. Amadora],31.0,9.0,0.0,0.0,270.0,8.0,1.0,1.0,2.0,0.0,26.0
15,9596,Edmilson [Marítimo],29.0,9.0,2.0,0.0,276.0,9.0,0.0,0.0,2.0,0.0,23.0
16,9596,Youssef Fertout [Belenenses],29.0,8.0,0.0,0.0,222.0,7.0,1.0,0.0,1.0,0.0,15.0
17,9596,Basílio Almeida [SC Salgueiros],27.0,8.0,0.0,0.0,232.0,8.0,0.0,0.0,1.0,0.0,21.0
18,9596,Hugo Porfírio [UD Leiria],28.0,8.0,0.0,0.0,261.0,7.0,1.0,0.0,3.0,0.0,21.0
19,9596,Zlatko Zahovič [V. Guimarães],29.0,8.0,2.0,0.0,269.0,8.0,0.0,1.0,2.0,1.0,15.0
0,9697,Mário Jardel [FC Porto],31.0,30.0,0.0,0.0,87.0,27.0,3.0,0.0,4.0,0.0,38.0
1,9697,Jimmy Hasselbaink [Boavista],29.0,20.0,1.0,0.0,101.0,16.0,4.0,2.0,1.0,0.0,32.0
2,9697,Gaúcho [Est. Amadora],31.0,16.0,2.0,0.0,157.0,15.0,1.0,2.0,3.0,1.0,41.0
3,9697,Nuno Gomes [Boavista],34.0,15.0,0.0,0.0,183.0,15.0,0.0,1.0,0.0,0.0,24.0
4,9697,Constantino [Leça FC],34.0,15.0,2.0,0.0,201.0,15.0,0.0,2.0,2.0,0.0,45.0
5,9697,Karoglan [SC Braga],34.0,14.0,1.0,0.0,206.0,14.0,0.0,1.0,3.0,1.0,36.0
6,9697,Gilmar [V. Guimarães],31.0,13.0,0.0,0.0,203.0,13.0,0.0,0.0,2.0,0.0,25.0
7,9697,Edmilson [Marítimo],30.0,12.0,0.0,0.0,211.0,12.0,0.0,0.0,3.0,1.0,31.0
8,9697,Edmílson [FC Porto],28.0,11.0,3.0,0.0,170.0,11.0,0.0,0.0,1.0,0.0,14.0
9,9697,Marcos Severo [SC Salgueiros],30.0,10.0,0.0,0.0,106.0,1.0,9.0,0.0,3.0,2.0,20.0
10,9697,Toni [SC Braga],31.0,9.0,0.0,0.0,264.0,9.0,0.0,0.0,3.0,1.0,23.0
11,9697,Matute [GD Chaves],34.0,9.0,0.0,0.0,313.0,9.0,0.0,0.0,4.0,0.0,23.0
12,9697,Abílio [SC Salgueiros],34.0,9.0,3.0,0.0,316.0,9.0,0.0,1.0,1.0,0.0,18.0
13,9697,Kwame Ayew [V. Setúbal],23.0,8.0,0.0,0.0,210.0,7.0,1.0,0.0,3.0,0.0,21.0
14,9697,Fernando Almeida [SC Salgueiros],31.0,8.0,1.0,0.0,242.0,8.0,0.0,2.0,0.0,0.0,16.0
15,9697,Alex Bunbury [Marítimo],26.0,8.0,1.0,0.0,285.0,8.0,0.0,0.0,3.0,1.0,21.0
16,9697,Sabou [GD Chaves],32.0,8.0,0.0,0.0,349.0,8.0,0.0,1.0,1.0,0.0,21.0
17,9697,"Fernando [UD Leiria, Rio Ave]",18.0,7.0,1.0,0.0,178.0,7.0,0.0,0.0,0.0,0.0,20.0
18,9697,Donizete [Benfica],16.0,7.0,0.0,0.0,202.0,7.0,0.0,0.0,1.0,0.0,14.0
19,9697,Milonja Djukic [Farense],25.0,7.0,0.0,0.0,238.0,3.0,4.0,0.0,2.0,0.0,21.0
0,9798,Mário Jardel [FC Porto],30.0,26.0,2.0,0.0,90.0,24.0,2.0,2.0,1.0,0.0,35.0
1,9798,Nuno Gomes [Benfica],33.0,18.0,3.0,0.0,123.0,18.0,0.0,0.0,4.0,2.0,29.0
2,9798,Kwame Ayew [Boavista],29.0,16.0,0.0,0.0,154.0,16.0,0.0,2.0,3.0,0.0,30.0
3,9798,Isaías [Campomaiorense],26.0,14.0,4.0,0.0,149.0,14.0,0.0,0.0,0.0,0.0,26.0
4,9798,Karoglan [SC Braga],30.0,14.0,1.0,0.0,173.0,14.0,0.0,1.0,2.0,0.0,29.0
5,9798,Nandinho [SC Salgueiros],30.0,13.0,0.0,0.0,183.0,13.0,0.0,0.0,2.0,0.0,27.0
6,9798,Gilmar [V. Guimarães],30.0,12.0,0.0,0.0,215.0,12.0,0.0,0.0,5.0,0.0,29.0
7,9798,Constantino [Leça FC],33.0,12.0,1.0,0.0,226.0,12.0,0.0,0.0,4.0,1.0,41.0
8,9798,Artur Jorge Vicente [SC Salgueiros],34.0,12.0,0.0,0.0,229.0,12.0,0.0,0.0,1.0,0.0,25.0
9,9798,Velli Kasumov [V. Setúbal],24.0,11.0,2.0,0.0,188.0,10.0,1.0,1.0,3.0,2.0,29.0
10,9798,Alex Bunbury [Marítimo],30.0,11.0,1.0,0.0,236.0,11.0,0.0,1.0,3.0,0.0,25.0
11,9798,Timofte [Boavista],31.0,10.0,2.0,0.0,184.0,10.0,0.0,0.0,0.0,0.0,19.0
12,9798,Leandro Machado [Sporting],27.0,10.0,0.0,0.0,226.0,10.0,0.0,0.0,1.0,0.0,22.0
13,9798,Hassan Nader [Farense],19.0,9.0,2.0,0.0,173.0,9.0,0.0,1.0,1.0,0.0,22.0
14,9798,Oceano [Sporting],27.0,9.0,3.0,0.0,248.0,8.0,1.0,1.0,2.0,0.0,20.0
15,9798,Marcos [Rio Ave],30.0,9.0,2.0,1.0,285.0,9.0,0.0,0.0,1.0,0.0,21.0
16,9798,Quinzinho [Rio Ave],24.0,8.0,0.0,0.0,213.0,6.0,2.0,1.0,2.0,0.0,19.0
17,9798,Sérgio Conceição [FC Porto],30.0,8.0,0.0,0.0,284.0,7.0,1.0,0.0,0.0,0.0,11.0
18,9798,Jorginho [Campomaiorense],31.0,8.0,0.0,1.0,296.0,8.0,0.0,0.0,1.0,0.0,15.0
19,9798,Demétrius [Campomaiorense],17.0,7.0,0.0,0.0,100.0,5.0,2.0,0.0,1.0,0.0,13.0
0,9899,Mário Jardel [FC Porto],32.0,36.0,2.0,0.0,76.0,36.0,0.0,2.0,4.0,0.0,42.0
1,9899,Nuno Gomes [Benfica],34.0,24.0,6.0,0.0,97.0,20.0,4.0,1.0,2.0,0.0,34.0
2,9899,Demétrius [Campomaiorense],29.0,16.0,2.0,0.0,132.0,15.0,1.0,0.0,1.0,0.0,39.0
3,9899,Silva [SC Braga],32.0,16.0,1.0,0.0,156.0,16.0,0.0,0.0,3.0,0.0,42.0
4,9899,Kwame Ayew [Boavista],27.0,15.0,0.0,0.0,145.0,15.0,0.0,0.0,2.0,0.0,26.0
5,9899,Timofte [Boavista],32.0,15.0,4.0,0.0,150.0,15.0,0.0,1.0,4.0,0.0,26.0
6,9899,Alex Bunbury [Marítimo],30.0,15.0,6.0,0.0,164.0,13.0,2.0,2.0,1.0,1.0,34.0
7,9899,Chiquinho Conde [V. Setúbal],28.0,14.0,0.0,0.0,168.0,14.0,0.0,0.0,3.0,0.0,38.0
8,9899,Zlatko Zahovič [FC Porto],31.0,14.0,1.0,0.0,183.0,12.0,2.0,1.0,1.0,0.0,16.0
9,9899,Ivaylo Iordanov [Sporting],29.0,13.0,0.0,0.0,136.0,11.0,2.0,0.0,2.0,0.0,20.0
10,9899,Edmilson [V. Guimarães],25.0,13.0,0.0,0.0,136.0,12.0,1.0,0.0,3.0,1.0,25.0
11,9899,Edmílson [Sporting],24.0,10.0,1.0,0.0,180.0,10.0,0.0,1.0,1.0,0.0,16.0
12,9899,Wanderley [GD Chaves],27.0,10.0,0.0,0.0,186.0,9.0,1.0,2.0,1.0,1.0,26.0
13,9899,Celso [SC Salgueiros],29.0,10.0,0.0,0.0,200.0,7.0,3.0,2.0,1.0,0.0,22.0
14,9899,Fary [Beira-Mar],34.0,10.0,0.0,0.0,219.0,8.0,2.0,0.0,1.0,1.0,28.0
15,9899,Simão Sabrosa [Sporting],30.0,10.0,1.0,0.0,255.0,10.0,0.0,0.0,1.0,0.0,16.0
16,9899,Gilmar [V. Guimarães],33.0,10.0,1.0,0.0,267.0,10.0,0.0,1.0,1.0,0.0,19.0
17,9899,Jesús Seba [GD Chaves],31.0,10.0,2.0,0.0,267.0,9.0,1.0,0.0,2.0,0.0,26.0
18,9899,Dário [Académica OAF],25.0,9.0,0.0,0.0,204.0,8.0,1.0,2.0,0.0,0.0,30.0
19,9899,Simić [Beira-Mar],31.0,8.0,0.0,0.0,270.0,7.0,1.0,0.0,1.0,0.0,22.0
0,9900,Mário Jardel [FC Porto],32.0,38.0,7.0,0.0,74.0,38.0,0.0,0.0,4.0,0.0,58.0
1,9900,Beto Acosta [Sporting],33.0,22.0,5.0,0.0,124.0,22.0,0.0,3.0,9.0,2.0,39.0
2,9900,Gaúcho [Est. Amadora],31.0,21.0,2.0,0.0,128.0,21.0,0.0,2.0,3.0,0.0,53.0
3,9900,Nuno Gomes [Benfica],34.0,18.0,0.0,0.0,161.0,18.0,0.0,0.0,5.0,1.0,31.0
4,9900,Brandão [V. Guimarães],32.0,16.0,0.0,0.0,143.0,11.0,5.0,1.0,5.0,2.0,33.0
5,9900,Mariano Toedtli [Marítimo],31.0,13.0,0.0,0.0,202.0,12.0,1.0,0.0,3.0,0.0,31.0
6,9900,Hugo Henrique [Rio Ave],33.0,12.0,0.0,0.0,235.0,12.0,0.0,1.0,0.0,0.0,35.0
7,9900,Whelliton [Boavista],22.0,11.0,0.0,0.0,139.0,8.0,3.0,1.0,2.0,0.0,28.0
8,9900,Lucian Marinescu [Farense],27.0,11.0,0.0,0.0,212.0,11.0,0.0,3.0,2.0,0.0,31.0
9,9900,Maniche [Benfica],28.0,10.0,0.0,0.0,172.0,8.0,2.0,0.0,1.0,0.0,17.0
10,9900,Edmilson [V. Guimarães],31.0,10.0,0.0,0.0,252.0,10.0,0.0,1.0,0.0,0.0,21.0
11,9900,Odair [SC Braga],33.0,10.0,1.0,1.0,291.0,10.0,0.0,0.0,2.0,1.0,23.0
12,9900,Guga [Gil Vicente],25.0,9.0,0.0,0.0,184.0,9.0,0.0,1.0,1.0,0.0,19.0
13,9900,Derlei [UD Leiria],26.0,8.0,0.0,0.0,195.0,6.0,2.0,2.0,0.0,0.0,26.0
14,9900,"Clayton [FC Porto, Santa Clara]",30.0,8.0,0.0,0.0,221.0,8.0,0.0,0.0,1.0,0.0,23.0
15,9900,Riva [V. Guimarães],31.0,8.0,0.0,0.0,229.0,4.0,4.0,0.0,1.0,1.0,17.0
16,9900,Seba [Belenenses],33.0,8.0,0.0,0.0,358.0,8.0,0.0,0.0,1.0,0.0,22.0
17,9900,Kwame Ayew [Sporting],26.0,7.0,0.0,0.0,209.0,6.0,1.0,0.0,0.0,0.0,12.0
18,9900,"Cajú [FC Alverca, FC Porto]",19.0,7.0,0.0,0.0,230.0,7.0,0.0,0.0,1.0,0.0,18.0
19,9900,Hassan Nader [Farense],27.0,7.0,0.0,0.0,283.0,7.0,0.0,0.0,1.0,1.0,20.0
0,0001,Pena [FC Porto],29.0,22.0,0.0,0.0,111.0,21.0,1.0,0.0,5.0,0.0,30.0
1,0001,Pierre van Hooijdonk [Benfica],30.0,19.0,6.0,0.0,128.0,19.0,0.0,1.0,3.0,2.0,35.0
2,0001,João Tomás [Benfica],31.0,17.0,0.0,0.0,106.0,11.0,6.0,0.0,3.0,2.0,31.0
3,0001,Rafael [Paços de Ferreira],31.0,17.0,0.0,0.0,145.0,17.0,0.0,2.0,0.0,0.0,36.0
4,0001,Hassan Nader [Farense],31.0,16.0,3.0,0.0,173.0,16.0,0.0,2.0,2.0,1.0,43.0
5,0001,Miki Fehér [SC Braga],26.0,14.0,0.0,0.0,165.0,14.0,0.0,0.0,4.0,0.0,24.0
6,0001,Beto Acosta [Sporting],32.0,14.0,3.0,0.0,191.0,14.0,0.0,0.0,4.0,1.0,25.0
7,0001,Marcão [Belenenses],30.0,13.0,0.0,0.0,162.0,13.0,0.0,0.0,3.0,0.0,30.0
8,0001,Derlei [UD Leiria],32.0,13.0,0.0,0.0,204.0,13.0,0.0,2.0,3.0,1.0,28.0
9,0001,Zé Roberto [SC Braga],17.0,12.0,0.0,0.0,100.0,10.0,2.0,0.0,1.0,1.0,21.0
10,0001,Elpídio Silva [Boavista],21.0,11.0,1.0,0.0,103.0,10.0,1.0,0.0,1.0,0.0,17.0
11,0001,Ricardo Sousa [Beira-Mar],27.0,11.0,1.0,0.0,201.0,10.0,1.0,0.0,5.0,2.0,24.0
12,0001,Edmilson [SC Braga],34.0,11.0,0.0,0.0,202.0,10.0,1.0,1.0,0.0,0.0,19.0
13,0001,Gaúcho [Est. Amadora],33.0,11.0,1.0,0.0,244.0,10.0,1.0,0.0,1.0,0.0,37.0
14,0001,Duda [Boavista],33.0,10.0,0.0,0.0,219.0,10.0,0.0,0.0,1.0,0.0,16.0
15,0001,Pedro Mantorras [FC Alverca],25.0,9.0,0.0,0.0,192.0,7.0,2.0,0.0,1.0,1.0,20.0
16,0001,Paulo César [Gil Vicente],29.0,9.0,0.0,0.0,249.0,9.0,0.0,1.0,0.0,0.0,26.0
17,0001,João Pedro [SC Salgueiros],32.0,9.0,0.0,0.0,281.0,8.0,1.0,1.0,2.0,0.0,22.0
18,0001,Quim Ferraz [Marítimo],21.0,8.0,0.0,0.0,126.0,7.0,1.0,0.0,3.0,1.0,24.0
19,0001,Lagorio [Marítimo],16.0,8.0,2.0,0.0,154.0,8.0,0.0,0.0,1.0,0.0,24.0
0,0102,Mário Jardel [Sporting],30.0,42.0,15.0,0.0,64.0,42.0,0.0,3.0,5.0,0.0,57.0
1,0102,Derlei [UD Leiria],33.0,21.0,5.0,0.0,141.0,21.0,0.0,1.0,4.0,0.0,40.0
2,0102,Fary Faye [Beira-Mar],31.0,18.0,1.0,0.0,123.0,15.0,3.0,1.0,2.0,0.0,38.0
3,0102,Hugo Henrique [V. Setúbal],32.0,16.0,3.0,0.0,131.0,11.0,5.0,2.0,2.0,1.0,40.0
4,0102,Gaúcho [Marítimo],30.0,15.0,3.0,0.0,143.0,15.0,0.0,0.0,4.0,1.0,31.0
5,0102,Barata [SC Braga],30.0,15.0,1.0,0.0,148.0,14.0,1.0,1.0,4.0,1.0,35.0
6,0102,Leonardo [Paços de Ferreira],33.0,14.0,0.0,0.0,185.0,14.0,0.0,1.0,3.0,0.0,34.0
7,0102,Deco [FC Porto],30.0,13.0,1.0,0.0,195.0,13.0,0.0,1.0,3.0,1.0,20.0
8,0102,Pedro Mantorras [Benfica],30.0,13.0,0.0,0.0,198.0,13.0,0.0,1.0,4.0,2.0,20.0
9,0102,Benni McCarthy [FC Porto],11.0,12.0,0.0,0.0,68.0,12.0,0.0,0.0,1.0,0.0,18.0
10,0102,João Pedro [SC Salgueiros],34.0,12.0,1.0,0.0,240.0,11.0,1.0,1.0,0.0,0.0,41.0
11,0102,Paulo Alves [Gil Vicente],27.0,11.0,1.0,0.0,173.0,8.0,3.0,1.0,1.0,1.0,26.0
12,0102,Simão Sabrosa [Benfica],26.0,11.0,3.0,0.0,208.0,11.0,0.0,0.0,0.0,0.0,17.0
13,0102,Jacques [UD Leiria],27.0,10.0,1.0,0.0,183.0,7.0,3.0,0.0,0.0,0.0,19.0
14,0102,Cajú [FC Alverca],26.0,10.0,4.0,0.0,184.0,8.0,2.0,2.0,1.0,0.0,26.0
15,0102,Fangueiro [V. Guimarães],30.0,10.0,2.0,0.0,209.0,9.0,1.0,0.0,2.0,1.0,29.0
16,0102,Maciel [UD Leiria],30.0,10.0,0.0,0.0,229.0,10.0,0.0,1.0,0.0,0.0,19.0
17,0102,Hélder Postiga [FC Porto],27.0,9.0,0.0,0.0,131.0,4.0,5.0,0.0,1.0,1.0,14.0
18,0102,João Vieira Pinto [Sporting],33.0,9.0,0.0,0.0,307.0,9.0,0.0,0.0,2.0,0.0,12.0
19,0102,Edgaras Jankauskas [Benfica],12.0,8.0,0.0,0.0,109.0,6.0,2.0,0.0,1.0,0.0,12.0
0,0203,Fary Faye [Beira-Mar],31.0,18.0,0.0,0.0,137.0,17.0,1.0,0.0,2.0,1.0,42.0
1,0203,Simão Sabrosa [Benfica],33.0,18.0,9.0,0.0,162.0,18.0,0.0,1.0,3.0,1.0,24.0
2,0203,Adriano [Nacional],29.0,16.0,0.0,0.0,149.0,15.0,1.0,2.0,0.0,0.0,40.0
3,0203,Gaúcho [Marítimo],32.0,15.0,0.0,0.0,165.0,15.0,0.0,0.0,5.0,0.0,42.0
4,0203,Hélder Postiga [FC Porto],31.0,13.0,0.0,0.0,155.0,13.0,0.0,1.0,1.0,0.0,18.0
5,0203,Tiago [Benfica],31.0,13.0,0.0,0.0,200.0,13.0,0.0,0.0,1.0,0.0,18.0
6,0203,Maciel [UD Leiria],32.0,12.0,0.0,0.0,221.0,11.0,1.0,1.0,2.0,0.0,24.0
7,0203,Barroso [SC Braga],33.0,12.0,5.0,0.0,230.0,10.0,2.0,1.0,1.0,0.0,35.0
8,0203,Paulo Alves [Gil Vicente],30.0,11.0,2.0,0.0,129.0,8.0,3.0,0.0,1.0,0.0,26.0
9,0203,Mário Jardel [Sporting],19.0,11.0,5.0,0.0,145.0,10.0,1.0,1.0,1.0,0.0,21.0
10,0203,Dário [Académica OAF],30.0,11.0,0.0,0.0,220.0,10.0,1.0,2.0,2.0,1.0,29.0
11,0203,Ricardo Sousa [Beira-Mar],33.0,11.0,4.0,0.0,258.0,11.0,0.0,2.0,0.0,0.0,26.0
12,0203,Demétrius [Moreirense],26.0,10.0,0.0,0.0,100.0,3.0,7.0,2.0,2.0,1.0,24.0
13,0203,Manoel [Gil Vicente],29.0,10.0,0.0,0.0,213.0,7.0,3.0,0.0,2.0,0.0,24.0
14,0203,Elpídio Silva [Boavista],30.0,10.0,1.0,0.0,227.0,10.0,0.0,2.0,2.0,0.0,31.0
15,0203,Romeu [V. Guimarães],28.0,10.0,0.0,0.0,234.0,8.0,2.0,1.0,2.0,1.0,21.0
16,0203,Fabrício Ceará [Santa Clara],31.0,10.0,1.0,0.0,242.0,8.0,2.0,0.0,1.0,1.0,26.0
17,0203,Deco [FC Porto],30.0,10.0,0.0,0.0,255.0,10.0,0.0,0.0,3.0,1.0,14.0
18,0203,Jorginho [V. Setúbal],31.0,10.0,0.0,0.0,270.0,10.0,0.0,3.0,2.0,0.0,25.0
19,0203,Edgaras Jankauskas [FC Porto],30.0,9.0,1.0,0.0,134.0,1.0,8.0,1.0,2.0,0.0,12.0
0,0304,Benni McCarthy [FC Porto],29.0,20.0,4.0,0.0,99.0,18.0,2.0,0.0,6.0,0.0,32.0
1,0304,Adriano Louzada [Nacional],29.0,19.0,0.0,0.0,136.0,19.0,0.0,0.0,4.0,1.0,34.0
2,0304,Liedson [Sporting],30.0,15.0,0.0,0.0,172.0,15.0,0.0,0.0,2.0,1.0,25.0
3,0304,Evandro [Rio Ave],33.0,15.0,3.0,0.0,176.0,14.0,1.0,0.0,2.0,0.0,36.0
4,0304,Ricardo Sousa [Boavista],32.0,14.0,2.0,0.0,192.0,14.0,0.0,3.0,2.0,0.0,44.0
5,0304,Derlei [FC Porto],18.0,13.0,1.0,0.0,109.0,13.0,0.0,0.0,0.0,0.0,21.0
6,0304,Ferreira [Gil Vicente],30.0,12.0,0.0,0.0,203.0,12.0,0.0,1.0,2.0,0.0,28.0
